f_acidente;d_tipoacidente
332077;Colisão transversal
332078;Colisão traseira
332079;Colisão traseira
332081;Colisão frontal
332082;Colisão traseira
332083;Colisão lateral mesmo sentido
332085;Tombamento
332086;Colisão lateral sentido oposto
332087;Saída de leito carroçável
332088;Colisão frontal
332089;Colisão lateral
332090;Colisão traseira
332091;Colisão traseira
332092;Queda de ocupante de veículo
332093;Colisão traseira
332094;Colisão transversal
332095;Saída de leito carroçável
332096;Tombamento
332097;Saída de leito carroçável
332098;Atropelamento de Animal
332100;Colisão lateral
332101;Colisão transversal
332102;Saída de leito carroçável
332103;Colisão com objeto
332104;Atropelamento de Animal
332105;Tombamento
332106;Colisão transversal
332107;Colisão transversal
332108;Incêndio
332110;Saída de leito carroçável
332111;Colisão traseira
332112;Colisão traseira
332113;Colisão traseira
332114;Colisão transversal
332116;Colisão traseira
332117;Colisão traseira
332119;Saída de leito carroçável
332120;Saída de leito carroçável
332121;Colisão frontal
332122;Colisão traseira
332123;Capotamento
332124;Tombamento
332125;Colisão com objeto
332126;Colisão traseira
332127;Saída de leito carroçável
332128;Saída de leito carroçável
332129;Colisão traseira
332130;Saída de leito carroçável
332131;Saída de leito carroçável
332132;Colisão traseira
332133;Colisão lateral
332134;Colisão transversal
332135;Colisão frontal
332136;Capotamento
332138;Colisão traseira
332139;Engavetamento
332140;Colisão traseira
332141;Colisão traseira
332142;Colisão transversal
332143;Engavetamento
332144;Colisão frontal
332145;Colisão frontal
332147;Colisão com objeto
332149;Colisão lateral
332150;Tombamento
332151;Saída de leito carroçável
332152;Colisão transversal
332153;Saída de leito carroçável
332155;Saída de leito carroçável
332156;Saída de leito carroçável
332158;Colisão transversal
332159;Saída de leito carroçável
332161;Colisão com objeto
332163;Saída de leito carroçável
332165;Colisão transversal
332166;Colisão traseira
332167;Colisão com objeto
332168;Saída de leito carroçável
332169;Colisão traseira
332170;Saída de leito carroçável
332171;Saída de leito carroçável
332172;Engavetamento
332173;Colisão traseira
332174;Saída de leito carroçável
332177;Colisão traseira
332179;Colisão transversal
332181;Atropelamento de Animal
332183;Colisão com objeto
332184;Colisão traseira
332185;Colisão lateral
332186;Colisão traseira
332189;Colisão traseira
332190;Tombamento
332191;Engavetamento
332192;Saída de leito carroçável
332193;Colisão transversal
332194;Saída de leito carroçável
332195;Tombamento
332196;Tombamento
332197;Saída de leito carroçável
332198;Colisão traseira
332199;Colisão com objeto
332200;Queda de ocupante de veículo
332201;Saída de leito carroçável
332202;Colisão lateral
332203;Saída de leito carroçável
332204;Saída de leito carroçável
332205;Colisão transversal
332206;Tombamento
332207;Colisão traseira
332208;Queda de ocupante de veículo
332210;Saída de leito carroçável
332211;Queda de ocupante de veículo
332213;Queda de ocupante de veículo
332214;Colisão traseira
332215;Saída de leito carroçável
332216;Colisão traseira
332217;Saída de leito carroçável
332218;Colisão com objeto
332220;Saída de leito carroçável
332221;Capotamento
332222;Saída de leito carroçável
332223;Colisão com objeto
332224;Colisão traseira
332225;Saída de leito carroçável
332226;Colisão traseira
332227;Saída de leito carroçável
332228;Colisão traseira
332229;Saída de leito carroçável
332230;Colisão lateral mesmo sentido
332232;Saída de leito carroçável
332233;Incêndio
332235;Colisão transversal
332236;Colisão lateral mesmo sentido
332237;Saída de leito carroçável
332238;Atropelamento de Pedestre
332239;Colisão lateral mesmo sentido
332240;Colisão traseira
332242;Colisão transversal
332243;Capotamento
332244;Colisão transversal
332245;Colisão traseira
332247;Colisão frontal
332249;Colisão traseira
332250;Capotamento
332251;Colisão lateral
332252;Saída de leito carroçável
332253;Colisão com objeto
332254;Saída de leito carroçável
332255;Engavetamento
332256;Colisão traseira
332257;Saída de leito carroçável
332258;Colisão traseira
332259;Incêndio
332260;Capotamento
332261;Saída de leito carroçável
332262;Colisão lateral
332263;Colisão lateral
332264;Colisão frontal
332265;Saída de leito carroçável
332266;Colisão frontal
332267;Colisão traseira
332268;Colisão com objeto
332269;Colisão com objeto
332270;Colisão traseira
332271;Colisão traseira
332273;Saída de leito carroçável
332274;Saída de leito carroçável
332275;Colisão com objeto
332276;Colisão lateral sentido oposto
332277;Colisão com objeto
332278;Colisão com objeto
332279;Colisão traseira
332280;Colisão frontal
332281;Saída de leito carroçável
332282;Saída de leito carroçável
332283;Colisão lateral
332284;Colisão frontal
332285;Colisão lateral mesmo sentido
332286;Saída de leito carroçável
332287;Incêndio
332288;Colisão transversal
332289;Colisão lateral
332290;Capotamento
332291;Capotamento
332292;Colisão lateral mesmo sentido
332293;Capotamento
332294;Colisão traseira
332295;Colisão traseira
332296;Saída de leito carroçável
332297;Colisão com objeto
332298;Colisão lateral
332299;Saída de leito carroçável
332300;Colisão frontal
332301;Colisão frontal
332303;Saída de leito carroçável
332304;Colisão traseira
332305;Colisão lateral mesmo sentido
332306;Colisão com objeto
332307;Colisão traseira
332308;Colisão transversal
332309;Saída de leito carroçável
332311;Colisão traseira
332312;Saída de leito carroçável
332313;Colisão lateral
332314;Colisão traseira
332315;Colisão lateral
332316;Saída de leito carroçável
332317;Colisão traseira
332318;Tombamento
332320;Colisão frontal
332321;Saída de leito carroçável
332322;Engavetamento
332323;Colisão transversal
332324;Engavetamento
332325;Colisão lateral mesmo sentido
332326;Tombamento
332327;Colisão traseira
332328;Incêndio
332329;Colisão traseira
332330;Saída de leito carroçável
332331;Atropelamento de Pedestre
332332;Colisão lateral
332333;Atropelamento de Pedestre
332335;Colisão transversal
332336;Colisão lateral
332337;Colisão transversal
332338;Atropelamento de Animal
332339;Colisão transversal
332340;Colisão traseira
332341;Colisão com objeto
332342;Colisão lateral
332343;Capotamento
332345;Colisão traseira
332346;Colisão traseira
332347;Colisão traseira
332349;Colisão traseira
332350;Colisão com objeto
332352;Saída de leito carroçável
332354;Colisão transversal
332355;Queda de ocupante de veículo
332358;Colisão lateral
332359;Colisão traseira
332360;Colisão traseira
332362;Saída de leito carroçável
332363;Incêndio
332364;Incêndio
332365;Atropelamento de Animal
332367;Colisão transversal
332368;Tombamento
332369;Colisão traseira
332370;Colisão com objeto
332371;Saída de leito carroçável
332374;Colisão com objeto
332376;Colisão frontal
332377;Tombamento
332378;Atropelamento de Pedestre
332380;Colisão com objeto
332381;Queda de ocupante de veículo
332382;Colisão frontal
332383;Atropelamento de Animal
332385;Colisão transversal
332386;Saída de leito carroçável
332387;Colisão lateral sentido oposto
332388;Colisão lateral mesmo sentido
332389;Saída de leito carroçável
332390;Colisão traseira
332391;Colisão traseira
332393;Saída de leito carroçável
332394;Colisão lateral mesmo sentido
332395;Colisão frontal
332396;Colisão traseira
332397;Colisão traseira
332399;Colisão transversal
332400;Atropelamento de Pedestre
332401;Queda de ocupante de veículo
332403;Colisão transversal
332404;Saída de leito carroçável
332405;Colisão traseira
332407;Colisão lateral
332408;Colisão traseira
332409;Saída de leito carroçável
332410;Saída de leito carroçável
332414;Colisão lateral
332415;Saída de leito carroçável
332416;Colisão lateral mesmo sentido
332417;Saída de leito carroçável
332418;Queda de ocupante de veículo
332419;Queda de ocupante de veículo
332421;Tombamento
332422;Colisão traseira
332423;Atropelamento de Animal
332424;Saída de leito carroçável
332425;Colisão lateral mesmo sentido
332426;Colisão traseira
332427;Colisão traseira
332428;Colisão lateral mesmo sentido
332429;Colisão traseira
332430;Colisão transversal
332431;Colisão traseira
332432;Colisão traseira
332433;Capotamento
332434;Colisão traseira
332435;Derramamento de carga
332436;Colisão com objeto
332437;Saída de leito carroçável
332438;Colisão com objeto
332439;Colisão lateral mesmo sentido
332440;Tombamento
332442;Colisão traseira
332443;Colisão com objeto
332446;Colisão transversal
332447;Colisão traseira
332449;Colisão traseira
332450;Tombamento
332451;Colisão traseira
332452;Colisão traseira
332453;Saída de leito carroçável
332454;Colisão traseira
332455;Colisão lateral
332457;Colisão frontal
332458;Colisão lateral sentido oposto
332459;Colisão frontal
332461;Derramamento de carga
332463;Tombamento
332464;Saída de leito carroçável
332465;Queda de ocupante de veículo
332466;Saída de leito carroçável
332467;Colisão lateral mesmo sentido
332468;Colisão transversal
332469;Tombamento
332470;Tombamento
332471;Tombamento
332472;Tombamento
332473;Tombamento
332474;Colisão com objeto
332475;Tombamento
332476;Capotamento
332477;Colisão traseira
332479;Colisão frontal
332480;Tombamento
332481;Colisão traseira
332482;Colisão frontal
332483;Incêndio
332484;Colisão lateral
332485;Colisão traseira
332486;Saída de leito carroçável
332488;Colisão lateral
332490;Colisão com objeto
332492;Atropelamento de Pedestre
332495;Colisão transversal
332496;Colisão frontal
332497;Tombamento
332498;Atropelamento de Pedestre
332499;Saída de leito carroçável
332500;Colisão traseira
332501;Colisão lateral
332502;Atropelamento de Pedestre
332503;Colisão frontal
332504;Incêndio
332505;Tombamento
332506;Colisão traseira
332507;Colisão transversal
332508;Colisão traseira
332509;Colisão lateral
332511;Capotamento
332512;Atropelamento de Pedestre
332513;Atropelamento de Pedestre
332514;Saída de leito carroçável
332515;Colisão traseira
332516;Colisão frontal
332517;Saída de leito carroçável
332518;Colisão traseira
332519;Colisão traseira
332521;Colisão traseira
332522;Capotamento
332523;Saída de leito carroçável
332524;Incêndio
332526;Saída de leito carroçável
332527;Colisão lateral sentido oposto
332528;Tombamento
332530;Atropelamento de Pedestre
332531;Saída de leito carroçável
332532;Colisão lateral sentido oposto
332534;Tombamento
332535;Tombamento
332536;Colisão transversal
332538;Saída de leito carroçável
332539;Colisão frontal
332541;Queda de ocupante de veículo
332543;Tombamento
332544;Capotamento
332546;Incêndio
332547;Tombamento
332548;Colisão lateral sentido oposto
332549;Queda de ocupante de veículo
332550;Colisão lateral
332551;Colisão traseira
332552;Tombamento
332553;Colisão transversal
332555;Colisão traseira
332556;Queda de ocupante de veículo
332558;Colisão lateral
332559;Colisão traseira
332560;Colisão lateral sentido oposto
332561;Colisão lateral
332562;Saída de leito carroçável
332563;Tombamento
332564;Saída de leito carroçável
332565;Colisão frontal
332566;Colisão lateral
332567;Colisão traseira
332568;Colisão com objeto
332569;Colisão traseira
332570;Tombamento
332572;Colisão transversal
332573;Capotamento
332574;Colisão lateral
332575;Colisão com objeto
332576;Queda de ocupante de veículo
332580;Colisão transversal
332581;Colisão traseira
332582;Colisão traseira
332584;Colisão traseira
332585;Saída de leito carroçável
332586;Saída de leito carroçável
332587;Saída de leito carroçável
332588;Saída de leito carroçável
332589;Colisão traseira
332590;Colisão traseira
332591;Tombamento
332592;Colisão transversal
332593;Saída de leito carroçável
332595;Atropelamento de Pedestre
332597;Colisão frontal
332598;Engavetamento
332601;Saída de leito carroçável
332602;Saída de leito carroçável
332604;Colisão traseira
332605;Saída de leito carroçável
332606;Colisão lateral mesmo sentido
332607;Engavetamento
332608;Colisão lateral
332609;Tombamento
332610;Colisão traseira
332612;Tombamento
332613;Queda de ocupante de veículo
332615;Tombamento
332616;Saída de leito carroçável
332617;Tombamento
332618;Colisão transversal
332620;Engavetamento
332621;Colisão transversal
332623;Colisão lateral
332624;Capotamento
332627;Tombamento
332629;Capotamento
332630;Tombamento
332631;Colisão lateral
332632;Colisão transversal
332634;Eventos atípicos
332635;Colisão frontal
332636;Colisão lateral
332637;Saída de leito carroçável
332638;Colisão lateral
332639;Colisão transversal
332640;Colisão frontal
332641;Colisão lateral
332642;Derramamento de carga
332643;Colisão traseira
332644;Colisão traseira
332645;Colisão transversal
332646;Saída de leito carroçável
332647;Colisão lateral
332648;Colisão transversal
332649;Colisão transversal
332651;Colisão frontal
332652;Colisão com objeto
332653;Colisão lateral
332654;Colisão lateral
332655;Colisão lateral
332657;Colisão lateral
332658;Colisão traseira
332659;Colisão transversal
332661;Queda de ocupante de veículo
332662;Colisão traseira
332663;Colisão frontal
332664;Colisão traseira
332665;Saída de leito carroçável
332666;Colisão traseira
332668;Colisão traseira
332670;Tombamento
332671;Tombamento
332672;Colisão lateral mesmo sentido
332673;Atropelamento de Pedestre
332674;Colisão com objeto
332676;Colisão com objeto
332677;Colisão traseira
332678;Colisão com objeto
332679;Colisão traseira
332680;Colisão com objeto
332682;Atropelamento de Pedestre
332683;Capotamento
332684;Incêndio
332685;Saída de leito carroçável
332686;Capotamento
332687;Capotamento
332688;Incêndio
332689;Saída de leito carroçável
332690;Saída de leito carroçável
332691;Tombamento
332692;Colisão com objeto
332693;Colisão frontal
332694;Saída de leito carroçável
332695;Incêndio
332696;Colisão lateral
332697;Saída de leito carroçável
332699;Saída de leito carroçável
332700;Saída de leito carroçável
332701;Colisão lateral mesmo sentido
332703;Saída de leito carroçável
332704;Colisão traseira
332705;Saída de leito carroçável
332706;Saída de leito carroçável
332707;Colisão transversal
332708;Colisão lateral
332710;Colisão lateral
332711;Colisão frontal
332716;Colisão traseira
332717;Saída de leito carroçável
332718;Queda de ocupante de veículo
332719;Saída de leito carroçável
332720;Colisão com objeto
332721;Colisão transversal
332722;Tombamento
332723;Colisão traseira
332724;Saída de leito carroçável
332725;Queda de ocupante de veículo
332726;Capotamento
332727;Colisão lateral sentido oposto
332728;Saída de leito carroçável
332729;Colisão traseira
332730;Tombamento
332732;Colisão traseira
332734;Colisão lateral
332735;Colisão com objeto
332737;Saída de leito carroçável
332738;Tombamento
332739;Saída de leito carroçável
332740;Saída de leito carroçável
332741;Colisão com objeto
332742;Capotamento
332744;Colisão com objeto
332746;Colisão lateral
332747;Colisão transversal
332748;Engavetamento
332749;Saída de leito carroçável
332750;Colisão traseira
332751;Colisão lateral mesmo sentido
332752;Colisão lateral
332754;Colisão lateral
332755;Colisão transversal
332756;Colisão traseira
332758;Saída de leito carroçável
332759;Colisão frontal
332760;Saída de leito carroçável
332762;Colisão lateral sentido oposto
332763;Colisão traseira
332765;Colisão lateral mesmo sentido
332766;Colisão com objeto
332768;Colisão lateral
332769;Saída de leito carroçável
332770;Saída de leito carroçável
332771;Saída de leito carroçável
332772;Atropelamento de Animal
332773;Saída de leito carroçável
332774;Colisão com objeto
332775;Engavetamento
332776;Saída de leito carroçável
332777;Saída de leito carroçável
332778;Colisão traseira
332779;Colisão frontal
332780;Colisão lateral mesmo sentido
332782;Colisão com objeto
332783;Saída de leito carroçável
332785;Colisão com objeto
332786;Colisão traseira
332787;Colisão lateral sentido oposto
332788;Saída de leito carroçável
332789;Colisão frontal
332790;Tombamento
332791;Colisão transversal
332792;Colisão transversal
332793;Incêndio
332796;Colisão com objeto
332797;Tombamento
332798;Saída de leito carroçável
332800;Colisão frontal
332801;Capotamento
332802;Colisão traseira
332803;Queda de ocupante de veículo
332804;Colisão com objeto
332805;Incêndio
332806;Colisão com objeto
332807;Colisão traseira
332808;Saída de leito carroçável
332810;Colisão com objeto
332811;Colisão lateral sentido oposto
332812;Queda de ocupante de veículo
332813;Saída de leito carroçável
332815;Colisão traseira
332816;Saída de leito carroçável
332818;Colisão transversal
332819;Colisão lateral mesmo sentido
332820;Colisão traseira
332821;Colisão lateral mesmo sentido
332823;Eventos atípicos
332824;Colisão traseira
332825;Colisão transversal
332826;Queda de ocupante de veículo
332827;Colisão transversal
332828;Tombamento
332829;Saída de leito carroçável
332830;Saída de leito carroçável
332831;Saída de leito carroçável
332832;Colisão transversal
332833;Colisão transversal
332834;Tombamento
332836;Atropelamento de Pedestre
332838;Atropelamento de Pedestre
332839;Atropelamento de Pedestre
332840;Colisão frontal
332841;Colisão lateral
332842;Saída de leito carroçável
332843;Colisão transversal
332844;Colisão lateral mesmo sentido
332846;Atropelamento de Pedestre
332847;Colisão traseira
332848;Atropelamento de Animal
332849;Colisão transversal
332851;Colisão lateral sentido oposto
332852;Colisão frontal
332853;Colisão transversal
332854;Saída de leito carroçável
332855;Colisão traseira
332856;Colisão frontal
332857;Colisão com objeto
332858;Saída de leito carroçável
332859;Colisão com objeto
332860;Colisão com objeto
332861;Colisão transversal
332862;Tombamento
332863;Colisão com objeto
332864;Queda de ocupante de veículo
332866;Colisão transversal
332867;Atropelamento de Pedestre
332868;Queda de ocupante de veículo
332869;Saída de leito carroçável
332870;Saída de leito carroçável
332871;Colisão lateral mesmo sentido
332872;Colisão lateral
332873;Saída de leito carroçável
332874;Colisão com objeto
332875;Colisão transversal
332876;Queda de ocupante de veículo
332877;Tombamento
332878;Capotamento
332879;Colisão transversal
332880;Colisão lateral mesmo sentido
332881;Colisão lateral
332883;Colisão traseira
332885;Atropelamento de Animal
332887;Colisão com objeto
332888;Colisão transversal
332889;Colisão traseira
332890;Saída de leito carroçável
332891;Colisão lateral
332892;Colisão traseira
332893;Colisão lateral mesmo sentido
332894;Colisão lateral
332895;Colisão traseira
332896;Colisão traseira
332900;Saída de leito carroçável
332902;Colisão frontal
332905;Colisão frontal
332906;Saída de leito carroçável
332908;Colisão frontal
332909;Colisão traseira
332911;Colisão transversal
332914;Colisão traseira
332916;Colisão traseira
332917;Engavetamento
332918;Saída de leito carroçável
332919;Tombamento
332920;Colisão transversal
332921;Colisão com objeto
332922;Saída de leito carroçável
332923;Colisão lateral
332924;Colisão traseira
332925;Queda de ocupante de veículo
332927;Colisão transversal
332928;Capotamento
332929;Tombamento
332930;Colisão com objeto
332931;Colisão lateral
332932;Saída de leito carroçável
332933;Colisão lateral mesmo sentido
332934;Colisão transversal
332936;Colisão transversal
332937;Colisão frontal
332938;Colisão frontal
332939;Saída de leito carroçável
332940;Saída de leito carroçável
332941;Incêndio
332942;Saída de leito carroçável
332943;Colisão lateral
332946;Atropelamento de Pedestre
332949;Colisão frontal
332953;Tombamento
332954;Colisão com objeto
332955;Colisão traseira
332956;Colisão traseira
332957;Queda de ocupante de veículo
332958;Colisão transversal
332959;Colisão lateral mesmo sentido
332960;Tombamento
332963;Colisão traseira
332964;Saída de leito carroçável
332965;Colisão lateral mesmo sentido
332966;Colisão traseira
332967;Saída de leito carroçável
332968;Colisão traseira
332969;Saída de leito carroçável
332971;Saída de leito carroçável
332972;Atropelamento de Pedestre
332974;Saída de leito carroçável
332976;Colisão transversal
332977;Engavetamento
332978;Colisão transversal
332980;Colisão transversal
332981;Atropelamento de Pedestre
332984;Atropelamento de Pedestre
332985;Colisão transversal
332986;Saída de leito carroçável
332987;Colisão traseira
332988;Colisão lateral
332989;Colisão transversal
332990;Capotamento
332991;Capotamento
332992;Colisão com objeto
332993;Colisão transversal
332994;Tombamento
332995;Capotamento
332996;Colisão traseira
332997;Engavetamento
332998;Saída de leito carroçável
332999;Atropelamento de Pedestre
333000;Saída de leito carroçável
333001;Engavetamento
333002;Colisão lateral
333003;Colisão lateral sentido oposto
333004;Colisão transversal
333006;Capotamento
333007;Colisão lateral
333008;Atropelamento de Pedestre
333009;Saída de leito carroçável
333010;Colisão frontal
333011;Colisão com objeto
333012;Colisão transversal
333013;Colisão lateral
333014;Colisão lateral mesmo sentido
333015;Atropelamento de Pedestre
333016;Colisão traseira
333017;Atropelamento de Pedestre
333018;Saída de leito carroçável
333019;Colisão traseira
333020;Tombamento
333021;Colisão frontal
333022;Colisão com objeto
333023;Colisão transversal
333024;Colisão traseira
333025;Colisão traseira
333026;Tombamento
333027;Incêndio
333028;Colisão lateral sentido oposto
333029;Saída de leito carroçável
333031;Colisão frontal
333032;Colisão transversal
333033;Colisão traseira
333034;Colisão frontal
333035;Saída de leito carroçável
333037;Saída de leito carroçável
333038;Saída de leito carroçável
333039;Colisão lateral mesmo sentido
333041;Colisão traseira
333042;Colisão com objeto
333043;Atropelamento de Animal
333044;Tombamento
333045;Tombamento
333046;Colisão traseira
333048;Saída de leito carroçável
333049;Colisão lateral
333053;Tombamento
333054;Saída de leito carroçável
333055;Saída de leito carroçável
333056;Tombamento
333057;Colisão traseira
333058;Tombamento
333059;Colisão transversal
333060;Tombamento
333062;Saída de leito carroçável
333063;Colisão lateral
333064;Tombamento
333065;Colisão transversal
333066;Colisão transversal
333067;Tombamento
333069;Colisão transversal
333073;Colisão traseira
333074;Colisão lateral
333076;Colisão lateral
333077;Colisão transversal
333079;Colisão transversal
333080;Colisão traseira
333081;Tombamento
333082;Colisão traseira
333083;Tombamento
333085;Colisão com objeto
333086;Saída de leito carroçável
333088;Incêndio
333089;Colisão traseira
333090;Colisão transversal
333091;Colisão traseira
333094;Saída de leito carroçável
333095;Capotamento
333096;Saída de leito carroçável
333097;Capotamento
333099;Capotamento
333100;Tombamento
333101;Colisão lateral mesmo sentido
333102;Engavetamento
333104;Colisão lateral
333106;Colisão transversal
333107;Colisão com objeto
333108;Colisão lateral
333109;Atropelamento de Pedestre
333110;Capotamento
333111;Capotamento
333112;Colisão frontal
333113;Colisão lateral sentido oposto
333114;Colisão lateral mesmo sentido
333115;Colisão traseira
333116;Colisão com objeto
333118;Incêndio
333120;Colisão lateral mesmo sentido
333121;Colisão traseira
333122;Colisão lateral mesmo sentido
333123;Colisão traseira
333124;Saída de leito carroçável
333126;Colisão transversal
333129;Colisão com objeto
333130;Colisão com objeto
333131;Colisão lateral
333132;Colisão lateral
333133;Colisão lateral mesmo sentido
333134;Colisão traseira
333136;Engavetamento
